command_invocation_id,dbt_command,dbt_vars,dbt_version,env_vars,full_refresh_flag,project_name,run_date,run_started_at,target_name,target_schema,target_threads
043271c8-754f-6d7f-5e82-d15294574405,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-01,2026-06-01 02:08:00,prod,analytics,8
0280b6d7-5320-a24c-07f2-609f450790eb,test,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-01,2026-06-01 09:48:00,dev,dbt_dev,8
487894ea-7ea0-ebe2-c8f3-66d2d2304841,test,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-01,2026-06-01 12:54:00,uat,dbt_uat,8
a968c156-6b6d-e3de-b02c-71ab45250c9d,test,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-01,2026-06-01 16:05:00,dev,dbt_dev,8
99913083-276b-5ca8-10c5-bc37d26e1d68,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-02,2026-06-02 02:12:00,prod,analytics,8
018bf54a-4621-2492-132a-0b819e2370dc,run,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-02,2026-06-02 09:14:00,dev,dbt_dev,8
0d49bd19-5936-2480-7f99-185a6685d9c2,run,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-02,2026-06-02 13:06:00,dev,dbt_dev,8
43566164-f498-4381-f3b1-4a7197d9bfc1,test,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-02,2026-06-02 17:41:00,dev,dbt_dev,8
056eafa7-5533-d9d8-42eb-5e3699c22ab7,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-03,2026-06-03 02:19:00,prod,analytics,8
b4deb2ad-9bc0-89a8-56b2-cfb1043d6bf6,build,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-03,2026-06-03 09:40:00,dev,dbt_dev,8
4fdeb8b8-f1a6-0c0e-21e3-757e76dcb386,build,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-03,2026-06-03 12:26:00,uat,dbt_uat,8
f15b7041-48c4-6214-fa9c-14f84f0a0b2b,test,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-03,2026-06-03 17:56:00,uat,dbt_uat,8
388eb8aa-8e8a-02e9-b1fa-258be6917cd3,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-04,2026-06-04 02:03:00,prod,analytics,8
2c8e6cea-654e-3cb1-978e-90e83df0d1ef,build,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-04,2026-06-04 11:54:00,dev,dbt_dev,8
dc7279e5-bb55-3714-2ffb-8f0b99de62d2,test,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-04,2026-06-04 13:16:00,dev,dbt_dev,8
1efeb071-3bff-9917-7eaf-36a00bb29ae2,build,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-04,2026-06-04 16:12:00,uat,dbt_uat,8
a4ff10f1-b988-c206-d85f-c25553ccbc70,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-05,2026-06-05 02:17:00,prod,analytics,8
9ca45d4a-6f0a-8324-52c2-f1c6583752d9,build,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-05,2026-06-05 09:40:00,uat,dbt_uat,8
e868f81b-38b0-7058-ff50-c12f909f41a4,test,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-05,2026-06-05 13:15:00,uat,dbt_uat,8
57aace12-4966-dfbc-2e74-8035b3d77b06,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-06,2026-06-06 02:10:00,prod,analytics,8
a6f3f025-826e-4316-f27e-4af5d08c7683,build,"{""full_refresh_scope"":""facts""}",1.8.7,"{""DBT_ENV"":""prod""}",TRUE,acme_warehouse,2026-06-07,2026-06-07 02:13:00,prod,analytics,8
8b4d1a5b-aee9-8199-dad3-111c04fc8e39,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-08,2026-06-08 02:18:00,prod,analytics,8
f59cc466-a715-c3c5-c62f-123094815bbd,build,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-08,2026-06-08 11:19:00,uat,dbt_uat,8
623369b1-8509-da4a-ce1e-024642d2c246,run,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-08,2026-06-08 12:40:00,dev,dbt_dev,8
23738529-075e-547d-542d-70c75c48c241,run,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-08,2026-06-08 16:39:00,uat,dbt_uat,8
e745b82c-8ac8-a0c9-84a4-9cd0061f19a0,build,{},1.8.7,"{""DBT_ENV"":""prod""}",FALSE,acme_warehouse,2026-06-09,2026-06-09 02:16:00,prod,analytics,8
8488c24a-4176-2e10-96d5-8d243f67f67b,test,{},1.8.7,"{""DBT_ENV"":""uat""}",FALSE,acme_warehouse,2026-06-09,2026-06-09 09:33:00,uat,dbt_uat,8
7f5a1658-f9ac-181c-73b5-08d30cbf9475,run,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-09,2026-06-09 13:30:00,dev,dbt_dev,8
cfed2ab9-3e93-6ea2-1305-f317464d2fd9,run,{},1.8.7,"{""DBT_ENV"":""dev""}",FALSE,acme_warehouse,2026-06-09,2026-06-09 17:08:00,dev,dbt_dev,8
