job_id,creation_date,creation_time,start_time,end_time,duration_sec,cache_hit,creation_hour_24,total_slot_hr,DataSizeCategoryID,total_bytes_processed,total_bytes_billed,error_reason,error_location,error_message,user_email,statement_type,queryhash,region,bie_mode,label_app,label_project,bie_error_code,bie_error_reason,label_env,parent_job_id,label_model_name,label_resource_type,label_invocation_id,total_slot_ms,destination_table_id,query,is_dbt_job
acme-analytics-prod:EU.job_20260601020800_000001_752aec,2026-06-01,02:08:00,2026-06-01 02:08:00,2026-06-01 02:08:01,1,FALSE,2,00:00:25,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,ea0d356044c171ba,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_orders,model,043271c8-754f-6d7f-5e82-d15294574405,25836,stg_orders,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_orders` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_spend`",TRUE
acme-analytics-prod:EU.job_20260601020803_000002_479936,2026-06-01,02:08:03,2026-06-01 02:08:03,2026-06-01 02:08:04,1,FALSE,2,00:00:18,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,6067104ba977ab93,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_customers,model,043271c8-754f-6d7f-5e82-d15294574405,18440,stg_customers,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_customers` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_customers`",TRUE
acme-analytics-prod:EU.job_20260601020805_000003_f01a72,2026-06-01,02:08:05,2026-06-01 02:08:06,2026-06-01 02:08:06,1,FALSE,2,00:00:08,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,f3452b9c36a6d861,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_sessions,model,043271c8-754f-6d7f-5e82-d15294574405,8198,stg_sessions,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_sessions` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_sessions`",TRUE
acme-analytics-prod:EU.job_20260601020808_000004_09e6a0,2026-06-01,02:08:08,2026-06-01 02:08:08,2026-06-01 02:08:09,1,FALSE,2,00:00:04,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,e5de4d599282caa0,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_impressions,model,043271c8-754f-6d7f-5e82-d15294574405,4417,stg_impressions,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_impressions` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_products`",TRUE
acme-analytics-prod:EU.job_20260601020810_000005_7b3dfa,2026-06-01,02:08:10,2026-06-01 02:08:10,2026-06-01 02:08:10,1,FALSE,2,00:00:03,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,84379bd6bea1d7a6,europe-west3,DISABLED,dbt,acme_warehouse,,,prod,,stg_spend,model,043271c8-754f-6d7f-5e82-d15294574405,3487,stg_spend,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_spend` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_customers`",TRUE
acme-analytics-prod:EU.job_20260601020811_000006_9a15bf,2026-06-01,02:08:11,2026-06-01 02:08:11,2026-06-01 02:08:12,0,FALSE,2,00:00:06,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,672e32d544418857,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_products,model,043271c8-754f-6d7f-5e82-d15294574405,6027,stg_products,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_products` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_products`",TRUE
acme-analytics-prod:EU.job_20260601020813_000007_41a89c,2026-06-01,02:08:13,2026-06-01 02:08:14,2026-06-01 02:08:14,0,FALSE,2,00:00:09,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,b42e5d8854937ffc,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_campaigns,model,043271c8-754f-6d7f-5e82-d15294574405,9446,stg_campaigns,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_campaigns` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_products`",TRUE
acme-analytics-prod:EU.job_20260601020815_000008_a0a647,2026-06-01,02:08:15,2026-06-01 02:08:16,2026-06-01 02:08:16,1,FALSE,2,00:00:10,1,0,10485760,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_VIEW,955d4f675338bb73,eu,DISABLED,dbt,acme_warehouse,,,prod,,stg_exchange_rates,model,043271c8-754f-6d7f-5e82-d15294574405,10050,stg_exchange_rates,"CREATE OR REPLACE VIEW `acme-analytics-prod.analytics.stg_exchange_rates` AS
SELECT * FROM `acme-analytics-prod.analytics.stg_sessions`",TRUE
acme-analytics-prod:EU.job_20260601020822_000009_bcce53,2026-06-01,02:08:22,2026-06-01 02:08:22,2026-06-01 02:08:24,2,FALSE,2,00:00:46,4,4288243582,4288675840,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,effc4c45bc5ff2bd,eu,DISABLED,dbt,acme_warehouse,,,prod,,dim_customer,model,043271c8-754f-6d7f-5e82-d15294574405,46853,dim_customer,"CREATE OR REPLACE TABLE `acme-analytics-prod.analytics.dim_customer`
PARTITION BY DATE(event_ts) AS
SELECT ... FROM `acme-analytics-prod.analytics.stg_sessions`, `acme-analytics-prod.analytics.stg_customers`
GROUP BY 1, 2, 3",TRUE
acme-analytics-prod:EU.job_20260601020826_000010_51c31d,2026-06-01,02:08:26,2026-06-01 02:08:27,2026-06-01 02:08:28,2,FALSE,2,00:00:29,3,775548187,775946240,,,,dbt-runner@acme-analytics-prod.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,f5f38395d393ec10,europe-west3,DISABLED,dbt,acme_warehouse,,,prod,,dim_product,model,043271c8-754f-6d7f-5e82-d15294574405,29148,dim_product,"CREATE OR REPLACE TABLE `acme-analytics-prod.analytics.dim_product`
PARTITION BY DATE(event_ts) AS
SELECT ... FROM `acme-analytics-prod.analytics.stg_products`
GROUP BY 1, 2, 3",TRUE
